State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category
Meghalaya,East Garo Hills,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-25,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-26,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-27,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-28,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-29,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-29,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-29,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-29,0.0,30.0,-100.0,deficit
