source_line,latitude,longitude,district,event_date,event_year,date_precision,source_row,event_datetime,grid_lat_idx,grid_lon_idx,grid_distance_km
1049,25.68805,91.66653,West Khasi Hills,2024-05-28,2024,day,Eastern-West Khasi Hill                                    Nongkhlaw-Guwahati Road         25.68805      91.66653      Debris          Slide         28 May 2024,2024-05-28,0,0,0.0
1053,25.762051,91.658959,West Khasi Hills,2024-05-29,2024,day,Eastern-West Khasi Hill   Boulder Stone Quarry Site        Mairang-Guwahati Road           25.762051     91.658959     Debris          Slide         29 May 2024,2024-05-29,0,0,0.0
1054,25.770935,91.656497,West Khasi Hills,2024-05-29,2024,day,Eastern-West Khasi Hill   Mawpat                           Mairang-Guwahati Road           25.770935     91.656497     Debris          Slide         29 May 2024,2024-05-29,0,0,0.0
1055,25.791616,91.658242,West Khasi Hills,2024-05-29,2024,day,Eastern-West Khasi Hill   Madpan                           Mairang-Guwahati Road           25.791616     91.658242     Debris          Slide         29 May 2024,2024-05-29,0,0,0.0
280,25.28236861,91.73874417,East Khasi Hills,2024-05-30,2024,day,East Khasi Hills         NA                                   NA                              25.28236861   91.73874417   Debris          Slide and flow   30 May 2024 at 02:00 AM.,2024-05-30,0,0,0.0
894,25.29667,91.45986,South West Khasi Hills,2024-06-17,2024,day,South West Khasi Hills   Manad slide-2                       Manad village                  25.29667      91.45986      Debris                 Slide   17 June 2024 at 6:00AM,2024-06-17,0,0,0.0
896,25.29739,91.46201,South West Khasi Hills,2024-06-17,2024,day,South West Khasi Hills   Manad slide-4                       Manad village                  25.29739      91.46201      Debris                 Slide   17 June 2024,2024-06-17,0,0,0.0
895,25.2975,91.46167,South West Khasi Hills,2024-06-17,2024,day,South West Khasi Hills   Manad slide-3                       Manad village                  25.2975       91.46167      Debris                 Slide   17 June 2024 (8:00 to 9:00 AM),2024-06-17,0,0,0.0
897,25.29778,91.45972,South West Khasi Hills,2024-06-15,2024,day,South West Khasi Hills   Lummawbah village slide             Lummawbah village              25.29778      91.45972      Debris                 Slide   15 June 2024(1:00 AM),2024-06-15,0,0,0.0
893,25.29967,91.46108,South West Khasi Hills,2024-06-15,2024,day,South West Khasi Hills   Manad slide-1                       Manad village                  25.29967      91.46108      Debris                 Slide   15 June 2024,2024-06-15,0,0,0.0
999,25.37129167,91.48003056,South West Khasi Hills,2024-06-15,2024,day,South West Khasi Hills    Jakarm                            Mawkyrwat-Shillong Road     25.37129167   91.48003056   Debris          Fall          15 June 2024,2024-06-15,0,0,0.0
1001,25.531739,91.296177,West Khasi Hills,2024-07-02,2024,day,West Khasi Hills          Mawrok Sohsat                        Mairang-Nongstoin Road   25.531739     91.296177     Debris          Slide         02 July 2024,2024-07-02,0,0,0.0
1002,25.540056,91.314142,West Khasi Hills,2024-07-02,2024,day,West Khasi Hills          Sohpian                              Mairang-Nongstoin Road   25.540056     91.314142     Debris          Fall          02 July 2024,2024-07-02,0,0,0.0
997,25.55256111,91.61870278,West Khasi Hills,2024-06-28,2024,day,Eastern-West Khasi Hill   Kynshi                                                        25.55256111   91.61870278   Debris          Fall          28 June 2024,2024-06-28,0,0,0.0
890,25.5667327,91.9146185,East Khasi Hills,2024-10-04,2024,day,East Khasi Hills         NULL                                NULL                           25.5667327    91.9146185    Debris                 Slide   04 October 2024,2024-10-04,0,0,0.0
1035,25.61276111,91.17375278,West Khasi Hills,2024-07-02,2024,day,West Khasi Hills                                           Nongstoin-RongjongTura Road 25.61276111       91.17375278   Debris          Slide         02 July 2024,2024-07-02,0,0,0.0
1034,25.62269444,91.16914444,West Khasi Hills,2024-07-02,2024,day,West Khasi Hills                                           Nongstoin-RongjongTura Road   25.62269444     91.16914444   Debris          Slide         02 July 2024,2024-07-02,0,0,0.0
1006,25.641242,91.894137,East Khasi Hills,2024-07-02,2024,day,East Khasi Hills          Rymbai Petrol Pump(BPCL)             Shillong-Umiam Road      25.641242     91.894137     Debris          Fall          02 July 2024,2024-07-02,0,0,0.0
1008,25.64887222,91.89692778,East Khasi Hills,2024-07-02,2024,day,East Khasi Hills          Umiam Lake                           Umiam Road               25.64887222   91.89692778   Debris          Slide         02 July 2024,2024-07-02,0,0,0.0
1007,25.65057222,91.89351389,East Khasi Hills,2024-07-02,2024,day,East Khasi Hills          Mowing Rim                           Umiam Road               25.65057222   91.89351389   Debris          Fall          02 July 2024,2024-07-02,0,0,0.0
1016,25.65308889,91.89803889,East Khasi Hills,2024-07-01,2024,day,East Khasi Hills          Umiam Hydal Project                  GS Road                  25.65308889   91.89803889   Debris          Slide         01 July 2024,2024-07-01,0,0,0.0
1017,25.65341111,91.89819444,East Khasi Hills,2024-07-01,2024,day,East Khasi Hills          Umiam Hydal Project                  GS Road                  25.65341111   91.89819444   Debris          Slide         01 July 2024,2024-07-01,0,0,0.0
1036,25.66156667,91.13485278,West Khasi Hills,2024-07-02,2024,day,West Khasi Hills                                           Nongstoin-RongjongTura Road 25.66156667       91.13485278   Debris          Slide         02 July 2024,2024-07-02,0,0,0.0
1020,25.67517222,91.8983,Ri-Bhoi,2024-06-30,2024,day,Ri-Bhoi                   Umiam Flyover                        Guwahati-Shillong Road   25.67517222   91.8983       Debris          Fall          30 June 2024,2024-06-30,0,0,0.0
1023,25.67546111,91.89726944,Ri-Bhoi,2024-06-30,2024,day,Ri-Bhoi                   Umiam                                NH-6                     25.67546111   91.89726944   Rock            Topple/Fall   30 June 2024,2024-06-30,0,0,0.0
1028,25.68255833,91.90111389,Ri-Bhoi,2024-06-30,2024,day,Ri-Bhoi                   Umbang 1                             NH-6                     25.68255833   91.90111389   Debris          Slide         30 June 2024,2024-06-30,0,0,0.0
1029,25.68591944,91.90256667,Ri-Bhoi,2024-06-30,2024,day,Ri-Bhoi                   Umbang 2                         NH-6                          25.68591944     91.90256667   Debris          Slide         30 June 2024,2024-06-30,0,0,0.0
1042,25.69683611,91.64485556,West Khasi Hills,2024-08-06,2024,day,Eastern-West Khasi Hill                                    Mairang-Guwahati Road           25.69683611   91.64485556   Debris          Slide         06 August 2024,2024-08-06,0,0,0.0
1041,25.69866667,91.64517222,West Khasi Hills,2024-08-06,2024,day,Eastern-West Khasi Hill   Nongkhlaw-Tirotsing 4            Mairang-Guwahati Road           25.69866667   91.64517222   Debris          Slide         06 August 2024,2024-08-06,0,0,0.0
1040,25.70087778,91.642902,West Khasi Hills,2024-10-08,2024,day,Eastern-West Khasi Hill   Nongkhlaw-Tirotsing 3            Mairang-Guwahati Road           25.70087778   91.642902     Debris          Slide         08 October 2024,2024-10-08,0,0,0.0
899,25.781246,91.874475,Ri-Bhoi,2024-07-06,2024,day,Ri-Bhoi                  Umran Dairy slide                   Umran Dairy village            25.781246     91.874475     Earth                  Slide   6 July 2024,2024-07-06,0,0,0.0
1032,25.79744444,91.87408611,Ri-Bhoi,2024-06-14,2024,day,Ri-Bhoi                   Umsamlan 1                       NH-6                          25.79744444     91.87408611   Debris          Slide         14 June 2024,2024-06-14,0,0,0.0
1056,25.803984,91.659801,West Khasi Hills,2024-08-28,2024,day,Eastern-West Khasi Hill                                    Mairang-Guwahati Road           25.803984     91.659801     Debris          Slide         28 August 2024,2024-08-28,0,0,0.0
1033,25.80725833,91.87509444,Ri-Bhoi,2024-07-14,2024,day,Ri-Bhoi                   Umsamlan 2                       NH-6                          25.80725833     91.87509444   Debris          Slide         14 July 2024,2024-07-14,0,0,0.0
